date,model,group_variable,RGA_gap,min_group_RGA,max_group_RGA,n_valid_groups,mean_n_assets_per_group
2023-10-02,xgboost,sector,0.585475,0.186615,0.772091,11,37.0
2023-11-01,xgboost,sector,0.412359,0.312535,0.724894,11,37.0
2023-12-01,xgboost,sector,0.280628,0.3605,0.641128,11,37.0
2024-01-01,xgboost,sector,0.463671,0.188256,0.651926,11,37.0
2024-02-01,xgboost,sector,0.559174,0.194939,0.754113,11,37.0
2024-03-01,xgboost,sector,0.18356,0.46205,0.64561,11,37.0
2024-04-01,xgboost,sector,0.517793,0.313995,0.831788,11,37.0
2024-05-01,xgboost,sector,0.218238,0.402817,0.621055,11,37.0
2024-06-03,xgboost,sector,0.330616,0.300292,0.630907,11,37.0
2024-07-01,xgboost,sector,0.374968,0.260216,0.635184,11,37.0
2024-08-01,xgboost,sector,0.428295,0.371917,0.800211,11,37.0
2024-09-02,xgboost,sector,0.227139,0.417674,0.644813,11,37.0
2024-10-01,xgboost,sector,0.363933,0.299468,0.663401,11,37.0
2024-11-01,xgboost,sector,0.365598,0.338538,0.704135,11,37.0
2024-12-02,xgboost,sector,0.311457,0.331966,0.643423,11,37.0
2025-01-01,xgboost,sector,0.372107,0.24892,0.621028,11,37.0
2025-02-03,xgboost,sector,0.329146,0.408947,0.738093,11,37.0
2025-03-03,xgboost,sector,0.286272,0.349372,0.635643,11,37.0
2025-04-01,xgboost,sector,0.266503,0.313682,0.580185,11,37.0
2025-05-01,xgboost,sector,0.25698,0.423409,0.680389,11,37.0
2025-06-02,xgboost,sector,0.295648,0.323815,0.619463,11,37.0
2025-07-01,xgboost,sector,0.524543,0.298037,0.822581,11,37.0
2025-08-01,xgboost,sector,0.633402,0.135869,0.769271,11,37.0
2025-09-01,xgboost,sector,0.2094,0.378547,0.587947,11,37.0
2025-10-01,xgboost,sector,0.264765,0.24901,0.513775,11,37.0
2025-11-03,xgboost,sector,0.425878,0.371278,0.797156,11,37.0
2025-12-01,xgboost,sector,0.330068,0.332415,0.662483,11,37.0
2023-01-02,mlp,sector,0.443558,0.249501,0.693058,11,37.0
2023-02-01,mlp,sector,0.426559,0.277934,0.704492,11,37.0
2023-03-01,mlp,sector,0.362302,0.28805,0.650352,11,37.0
2023-04-03,mlp,sector,0.254405,0.306803,0.561209,11,37.0
2023-05-01,mlp,sector,0.289172,0.345389,0.634561,11,37.0
2023-06-01,mlp,sector,0.20006,0.415622,0.615682,11,37.0
2023-07-03,mlp,sector,0.233312,0.467777,0.701089,11,37.0
2023-08-01,mlp,sector,0.45639,0.246242,0.702632,11,37.0
2023-09-01,mlp,sector,0.309835,0.411268,0.721103,11,37.0
2023-10-02,mlp,sector,0.31138,0.341821,0.653202,11,37.0
2023-11-01,mlp,sector,0.577585,0.247852,0.825437,11,37.0
2023-12-01,mlp,sector,0.345511,0.348888,0.694398,11,37.0
2024-01-01,mlp,sector,0.376545,0.228907,0.605453,11,37.0
2024-02-01,mlp,sector,0.317287,0.391812,0.709099,11,37.0
2024-03-01,mlp,sector,0.330955,0.286317,0.617272,11,37.0
2024-04-01,mlp,sector,0.36412,0.361522,0.725642,11,37.0
2024-05-01,mlp,sector,0.29067,0.31903,0.6097,11,37.0
2024-06-03,mlp,sector,0.460466,0.246915,0.70738,11,37.0
2024-07-01,mlp,sector,0.417046,0.233369,0.650415,11,37.0
2024-08-01,mlp,sector,0.498875,0.228316,0.727191,11,37.0
2024-09-02,mlp,sector,0.248589,0.301122,0.549711,11,37.0
2024-10-01,mlp,sector,0.299164,0.342306,0.64147,11,37.0
2024-11-01,mlp,sector,0.164224,0.397102,0.561326,11,37.0
2024-12-02,mlp,sector,0.419535,0.363254,0.782789,11,37.0
2025-01-01,mlp,sector,0.304447,0.415533,0.71998,11,37.0
2025-02-03,mlp,sector,0.38949,0.337862,0.727352,11,37.0
2025-03-03,mlp,sector,0.381195,0.322248,0.703443,11,37.0
2025-04-01,mlp,sector,0.517169,0.284981,0.80215,11,37.0
2025-05-01,mlp,sector,0.352095,0.317708,0.669803,11,37.0
2025-06-02,mlp,sector,0.2551,0.38813,0.64323,11,37.0
2025-07-01,mlp,sector,0.291421,0.308768,0.60019,11,37.0
2025-08-01,mlp,sector,0.280966,0.312943,0.593909,11,37.0
2025-09-01,mlp,sector,0.320099,0.290128,0.610227,11,37.0
2025-10-01,mlp,sector,0.206612,0.365833,0.572445,11,37.0
2025-11-03,mlp,sector,0.24061,0.421945,0.662555,11,37.0
2025-12-01,mlp,sector,0.299524,0.360838,0.660362,11,37.0
